abovementioned	ดังกล่าวข้างต้น
copy	คัดสำเนา
sort out	คัดออก
assume the position	คั่วตำแหน่ง
remain in stock	ค้างสต๊อก
be doubtful	คาใจ
doubtful	คาใจ
money given to the bride's parents by the groom's parents at the engagement ceremony	ค่าน้ำนม
trade in vice	ค้าเนื้อสด
be irritated	คายตัว
boxing camp	ค่ายมวย
smell of blood	คาวเลือด
spoonerism	คำผวน
be misled	คิดผิด
be unexpected	คิดไม่ถึง
think deeply	คิดลึก
return to movies screen	คืนจอ
protect	คุ้มกะลาหัว
brag	คุยนักคุยหนา
rival	คู่กัด
lover	คู่ชื่น
boxing partner	คู่ซ้อม
boon companion	คู่ซี้
important match	คู่เอก
credit card	เครดิตการ์ด
side dishes	เครื่องเคียง
hurry	เครื่องร้อน
fancy	เคลิ้มฝัน
be offended	เคืองแค้น
cashier	แคชเชียร์
final bend	โค้งสุดท้าย
coach	โค้ช
code	โค้ด
secret code	โค้ดลับ
climax	ไคลแมกซ์
kill	ฆ่าปิดปาก
be puzzled	งงเต้ก
get confused	งงเป็นไก่ตาแตก
very	งั่ก
odd job	งานจร
big project	งานช้าง
quick to know	จมูกไว
point at someone's throat	จ่อคอหอย
queue up	จ่อคิว
come to the end	จอดไม่ต้องแจว
flirt with a girl	จับไก่
woman	จับไก่
negotiate	จับเข่าคุยกัน
cannot make head or tail of	จับต้นชนปลายไม่ถูก
find fault with	จับไต๋
catch two fish with each hand	จับปลาสองมือ
cannot look for the one who makes trouble	จับมือใครดมไม่ได้
prominent	จ๊าบ
trifling	จิ๊บจ๊อย
stick in one's throat	จุกคอ
end	จุดดับ
turning point	จุดพลิกผัน
turning point	จุดหักเห
dig into news	เจาะข่าว
dig into	เจาะใจ
interfering	แจ๋น
kind	ใจพระ
evil	ใจสัตว์
snatch	ฉกลัก
perform shadow-boxing	ชกลม
have difficulty	ชนตอ
cheat	ชักดาบ
draw one's sword	ชักดาบ
take a percentage	ชักต๋ง
It doesn't matter	ชั่งแม่ง
It doesn't matter	ชั่งหัวมัน
low	ชั้นต่ำ
experience	ชั่วโมงบิน
surely	ชัวร์
cold	ชาเย็น
iced tea	ชาเย็น
hot tea	ชาร้อน
compete for the championship	ชิงแชมป์
compete for the prize or reward	ชิงโชค
bounced cheque	เช็คเด้ง
ask for the bill	เช็คบิล
take revenge	เช็คบิล
be very unfashionable	เชยแหลก
plastic rope	เชือกฟาง
be drenched in blood	โชกเลือด
grocery	โชห่วย
use force against	ใช้กำลัง
dirty	ซกมก
resignation	ซองขาว
bribe	ซองขาว
brand-new	ซิงซิง
influence by giving money	ซื้อใจ
be submissive	ซูฮก
stagger	เซถลา
Buddhist novice	เณร
have bad luck	ดวงจู๋
compete in football match	ดวลแข้ง
teach someone a lesson	ดัดหลัง
jubilantly	ดี๊ด๊า
slowly	ดุบดิบ
does not look good	ดูไม่จืด
bad	เดนนรก
be to one's taste	โดนใจ
miss the news	ตกข่าว
abundantly	ตรึม
be not funny	ตลกฝืด
always	ตลอดปีตลอดชาติ
always	ตลอดศก
24-hour market	ตลาดโต้รุ่ง
labour market	ตลาดนัดแรงงาน
market stall	ตลาดแผงลอย
quibble	ตวัดลิ้น
retort	ตอกกลับ
can not continue	ต่อไม่ติด
bellow	ตะคั้นตะคอก
peevish	ตะบึงตะบอน
be peevish	ตะบึงตะบอน
salute	ตะเบ๊ะ
interrogate	ตั้งกระทู้
impose condition	ตั้งข้อแม้
put  on the stove	ตั้งไฟ
gather into a group	ตั้งวง
concentrate	ตั้งสมาธิ
lustful	ตัณหากลับ
be sexually aroused	ตัณหากลับ
reduce one's power	ตัดกำลัง
deprive of one's right	ตัดสิทธิ์
restrain one's desire	ตัดอกตัดใจ
tiredly	ตับแลบ
veteran	ตัวเก๋า
pawn ticket	ตั๋วจำนำ
lose all one's money	ตัวเบา
little kid	ตัวเล็ก
low-ranking official	ตัวเล็ก
innocent	ตาดำๆ
as one's fate may be	ตามเพรง
according to regulations	ตามระเบียบ
naturally die	ตายดี
be half dead	ตายมิตายแหล่
die at one's place	ตายรัง
be completely dead	ตายหยังเขียด
be stable	ติดลมบน
be stuck at one's lips	ติดอยู่ที่ปาก
press on two sides	ตีกระหนาบ
hit with the knee	ตีเข่า
snatch and run away	ตีชิงวิ่งราว
pretend to be acquainted	ตีซี้
break with friends	ตีตนออกห่าง
market a product against	ตีตลาด
buy a half-priced ticket	ตีตั๋วเด็ก
keep aloof	ตีตัวออกห่าง
have an excellent act	ตีบทแตก
pretend to know nothing	ตีลูกเซ่อ
pretend ignorance	ตีหน้าเซ่อ
stingy	ตึ๋งหนืด
panicky	ตื่นไฟ
ins and outs	ตื้นลึกหนาบาง
tuk-tuk	ตุ๊กๆ
homosexual	ตุ๊ด
lean buttocks	ตูดปอด
get angry	เต้นเป็นเจ้าเข้า
with all one's strength or might	เต็มอัตราศึก
retard	เตะถ่วง
have a punishment kick	เตะโทษ
electric stove	เตาไฟฟ้า
dinosaur	เต่าล้านปี
double bed	เตียงคู่
single bed	เตียงเดี่ยว
camp bed	เตียงผ้าใบ
camp bed	เตียงสนาม
spring bed	เตียงสปริง
be broken off from a group	แตกกลุ่ม
homosexual	แต๋ว
from time inmemorial	แต่ไหนแต่ไร
take liberties with	แต๊ะอั๋ง
aimlessly	โต๋เต๋
Chinese dishes	โต๊ะจีน
discuss	ถกปัญหา
roll up	ถกผ้า
retract one's words	ถอนคำพูด
broadcast live	ถ่ายทอดสด
copy	ถ่ายสำเนา
profoundly	ถึงกึ๋น
come to one's death time	ถึงที่ตาย
realize	ถึงบางอ้อ
own	ถือกรรมสิทธิ์
be arrogant	ถือเนื้อถือตัว
keep the secret	ถือเป็นความลับ
take someone as a model	ถือเป็นเยี่ยงอย่าง
take offence	ถือเป็นอารมณ์
make bold	ถือวิสาสะ
observe religious precepts or rite	ถือศีลกินเจ
plastic bag	ถุงก๊อบแก๊บ
