english	thai	paiboon
always	มาโดยตลอด	maa-doi-dtà-lɔɔt
universal standard	มาตรฐานสากล	maa-dtrá-tǎan-saa-gon
idol	มิ่งขวัญ	míŋ-kuan
be inappropriate	มิบังควร	mi-baŋ-kuan
milligram	มิลลิกรัม	mil-li-gram
millimeter	มิลลิเมตร	mil-li-mee-dtɔɔn
be plump	มีเนื้อมีหนัง	mii-nʉ́a-mii-naŋ
customarily	มีแบบแผน	mii-bɛ̀ɛp-pɛ̌ɛn
plan	มีแผน	mii-pɛɛn
be high class	มีระดับ	mii-rá-dàp
systematically	มีระบบ	mii-rá-bòp
orderly	มีระเบียบ	mii-rá-bia̋p
be orderly	มีระเบียบ	mii-rá-biap
be colorful	มีสีสัน	mii-sǐi-san
colorful	มีสีสัน	mii-sǐi-san
have a circle of friends	มีเส้นมีสาย	mii-sên-mii-saai
reason	มีเหตุมีผล	mii-hèt-mii-pǒn
pitch-dark	มืดทึบ	mʉ̂t-túp
accurate	มือฉมัง	mʉʉ-cha-maŋ
left hand	มือซ้าย	mʉʉ-sâai
skillful	มือดี	mʉʉ-dii
professional	มือโปร	mʉʉ-bpoo
emphasize	มุ่งเน้น	múng-nen
dung	มูลสัตว์	muun-sàt
promote	ยกฐานะ	yók-tǎa-ná
highly popular	ยอดนิยม	yɔ̂ɔt-ní-yom
yield	ยอมให้	yɔɔm-hâi
make eyes at	ยักคิ้วหลิ่วตา	yák-kíw-lìu-daa
search for a remedy	ยักย้ายถ่ายเท	yák-yáai-tâai-tee
shrug one's shoulder	ยักไหล่	yák-lài
retailer	พ่อค้าปลีก	pɔ̂ɔ-kháa-bplìik
travelling salesman	พ่อค้าเร่	pɔ̂ɔ-kháa-rèe
unapprehended thief	มือดี	mʉʉ-dii
professional	มือโปร	mʉʉ-bpoo
amateur	มือสมัครเล่น	mʉʉ-sà-màk-len
amateur	มือสมัครเล่น	mʉʉ-sà-màk-len
cellphone	มือถือ	mʉʉ-tʉ̌ʉ
backyard garden	พืชผักสวนครัว	pʉ́t-pak-sǔan-krua
florae	พืชพรรณ	pʉ̂cht-pan
rotated crops	พืชหมุนเวียน	pʉ̂cht-mun-wian
breeder	พ่อพันธุ์	pɔ̀ɔ-pan
table fan	พัดลมตั้งโต๊ะ	pát-lom-dtâŋ-dtó
orange bug	มวน	muan
meter	มาตรวัด	maa-dtrà-wàt
prince	พระบรมวงศ์เธอ	pá-rá-bor-ma-woŋ-təə
princess	พระบรมวงศ์เธอ	pá-róm-woŋ-təə
composite picture	ภาพซ้อน	phaap-sɔ̂ɔn
illusion	ภาพมายา	pâap-maa-yaa
state	มลรัฐ	mon-rát
defensive measure	มาตรการป้องกัน	maa-dtà-gaa-bpɔ̂ɔŋ-gan
treetop	ยอดไม้	yɔ̂ɔt-máai
exporter	พ่อค้าส่งออก	pɔ̂ɔ-káa-sòŋ-ɔ̀ɔk
TV movie	ภาพยนตร์โทรทัศน์	pâap-yon-too-rat-sàn
world-class	ระดับโลก	rá-dàp-lôok
at the beginning	ระยะแรก	rá-yá-rɛɛk
work together	ร่วมงาน	ruam-ngaan
join	ร่วมวง	ruam-waŋ
secret code	รหัสลับ	rá-hàt-làp
support	รองรับ	rɔɔŋ-ráp
be cautious	รอบคอบ	rɔ̂ɔp-kɔ̀ɔp
carefully	รอบคอบ	rɔ̂ɔp-kɔ̀ɔp
summarize	รวมความ	rúam-kwaam
mix	ระคน	rá-kon
fast	รวดเร็วทันใจ	rùat-rèp-tan-jai
thrilling	ระทึกขวัญ	rá-tʉ́k-kuan
nervous system	ระบบประสาท	rá-bòp-bprà-sàat
paint	ระบายสี	rá-baai-sǐi
be in order	ระเบียบเรียบร้อย	rá-bia̋p-riap-rɔ́oy
distance	ระยะทาง	rá-yá-taang
at the moment	ระยะนี้	rá-yá-níi
turn back	ย้อนกลับ	yɔ́ɔn-glàp
smile	รอยยิ้ม	ròoi-yîm
sedative	ยาระงับประสาท	yaa-rá-gaŋ-bprà-sàat
cause	ยังผล	yaŋ-pǒn
wrinkled	ยับยู่ยี่	yáp-yûu-yîi
be hard	ยาก	yâak
be very difficult	ยากเย็น	yaa-yen
herbicide	ยากำจัดวัชพืช	yaa-gam-jàt-wàt-pʉ̂t
tonic	ยาบำรุง	yaa-bam-ruŋ
antibiotic	ยาปฏิชีวนะ	yaa-bpa-dtì-chii-wa-na
attend a ceremony	ร่วมงาน	rûam-ngaan
migrate	ย้ายถิ่น	yáai-tin
short-term	ระยะสั้น	rá-ya-sàn
the best medicine	ยาวิเศษ	yaa-wí-sèet
adhere to	ยึดติด	yʉ̀d-dtìd
dark age	ยุคมืด	yúk-mʉ̂ud
water	รดน้ำต้นไม้	rót-náam-dtôn-máai
diesel train	รถไฟดีเซลราง	rót-fai-dii-seeŋ-raaŋ
tricycle	รถสามล้อถีบ	rót-sǎam-lɔ́ɔ-tìip
fall	ร่วงหล่น	ruaŋ-lòn
herbicide	ยาปราบศัตรูพืช	yaa-bpràap-sàt-dtruu-pʉ̂ʉch
surround	รายล้อม	raai-lɔ́ɔm
long-term	ระยะยาว	rá-yá-yaao
throne	ราชบัลลังก์	raa-chá-baŋ
throne	ราชบัลลังก์	raa-chá-baŋ
royal tradition	ราชประเพณี	raa-chá-bprà-phee-nii
intention	ราชประสงค์	raa-chá-bpra-soŋ
royal ceremony	ราชพิธี	raa-chá-pí-tii
smoothly	ราบเรียบ	raab-riap
list	รายชื่อ	raai-chʉ̀u
volunteer	รับอาสา	ráp-aa-sǎa
course	รายวิชา	raai-wi-chaa
major	รายใหญ่	raai-yài
pore	รูขุมขน	ruu-kum-kon
see through someone's trick	รู้เท่าทัน	rúu-tâo-tan
exactly know	รู้แน่แก่ใจ	rúu-nɛ̂ɛ-gɛ̀ɛ-jai
case	รูปคดี	rúup-ka-dii
photograph	รูปถ่าย	rûup-tài
smooth	ราบเรียบ	raab-riap
love triangle	รักสามเส้า	rák-sǎam-sâo
later	ระยะหลัง	rá-yá-lǎŋ
space	ระยะห่าง	rá-ya-hàaŋ
be alert	ระวังตัว	rá-waŋ-dtua
punishment	ระวางโทษ	rá-waang-tôot
be  treated	รักษาตัว	rák-sǎa-dua
take care of oneself	รักษาตัว	rák-sǎa-dua
treat	รักษาพยาบาล	rák-sǎa-pa-yaa-baan
Royal Institute	ราชบัณฑิตยสถาน	raa-chá-ban-dit-dtá-ya-sà-tǎan
save one's face	รักษาหน้า	rák-sǎa-nâa
know	รู้เรื่องราว	rúu-rʉ̂ang-raao
promise	รับคำ	ráp-kam
be invited	รับเชิญ	ráp-chəən
be punished	รับโทษ	ráp-tôot
gain an advantage	รับประโยชน์	ráp-bpra-yòot
admit one's mistake	รับผิด	ráp-pìt
enrol	รับสมัคร	ráp-sà-màk
welcome	รับเสด็จ	ráp-sà-dèt
cure	รักษาโรค	rák-sǎa-rôok
physically help	ร่วมแรง	rûam-rɛɛŋ
wander	ร่อนเร่	rɔ̂on-rê
poem	ร่ายยาว	rây-yaao
talk long in details	ร่ายยาว	rây-yaao
apply for a candidate	ลงสมัคร	loŋ-sà-màk
decrease adamant	ลดลาวาศอก	lót-laa-waa-sɔ̀k
reduce a punishment	ลดหย่อนผ่อนโทษ	lót-yɔ̀ɔn-pɔ̀ɔn-tôot
immeasurably	ล้นพ้น	lán-pán
turn over a board	ล้มกระดาน	lóm-gra-daan
deeply question	ล้วงลึก	lûaŋ-lʉ́k
float	ลอยคว้าง	lɔɔi-kwâaŋ
have no obligation	ลอยตัว	lɔɔi-dtua
float	ลอยตัว	lɔɔi-dtua
float throughout	ลอยฟ่อง	lɔɔi-fɔ̂ng
tease	ล้อเล่น	lɔ́ɔ-lên
violate copyright	ละเมิดสิทธิ์	lá-məəd-sìt
have a short cut	ลัดเลาะ	làt-lɔ́ɔ
behind	ลับหลัง	làp-laŋ
out of sight	ลับหูลับตา	làp-hǔu-làp-dtaa
wash dishes	ล้างจาน	láaŋ-jaan
eliminate	ล้างบาง	láaŋ-baaŋ
devastate	ล้างผลาญ	láaŋ-plaan
wash a car	ล้างรถ	láaŋ-rót
deep	ล้ำลึก	lám-lʉ̀k
far apart	ลิบ	líp
exorbitant	ลิบลิ่ว	lib-lìw
forceful	ลึกล้ำ	lʉ́k-lám
open eyes	ลืมตา	lʉm-dtaa
completely forget	ลืมสนิท	lʉʉm-sà-nìt
prudent	ลุ่มลึก	lûm-lʉ̂k
track	ลู่	lùu
be blown	ลู่	lùu
wide area	วงกว้าง	woŋ-kwâaŋ
work cycle	วงงาน	wong-ngaan
meeting	วงประชุม	woŋ-bpra-chum
government setting	วงราชการ	woŋ-raat-gaan
word used to end an expression but impolite	ว่ะ	wà
same day	วันเดียวกัน	wan-diiao-gan
construction materials	วัสดุก่อสร้าง	wàt-sà-du-gɔ̀ɔ-sâaŋ
plan	วางแผนการ	waang-pɛɛn-gaan
imagine	วาดหวัง	wâat-waŋ
swim	ว่าย	wâai
misery from bad deeds	วิบากกรรม	wi-bàak-gam
bravery	วีรกรรม	wii-gam
pest	ศัตรูพืช	sàt-ruu-pʉ̂t
still	สงบนิ่ง	soŋ-bop-niŋ
peacefully	สงบสุข	soŋ-bòp-sùk
architecture	สถาปัตยกรรมศาสตร์	sà-tǎa-bpàt-dtà-gà-ram-sàat
magnetic field	สนามแม่เหล็ก	sà-nǎam-mɛ̂ɛ-lèk
trustfully	สนิทใจ	sà-nít-jai
entertainingly	สนุกปาก	sà-nùk-bpaak
be pleased with	สบอารมณ์	sà-bɔɔ-aam
join donating	สมทบทุน	som-top-tun
complete	สมบูรณ์แบบ	som-buurṇ-bɛ̀ɛp
comfortable	สมบูรณ์พูนสุข	som-buurm-phuun-suk
properly	สมวัย	som-wai
apply for a job	สมัครงาน	sà-màk-ngaan
intestine	ลำไส้	lam-sai
procedure	ลำดับขั้น	lam-dàp-kʉ̂n
medium	ร่างทรง	ráang-song
homosexual	ลักเพศ	làk-pêet
terminology	ศัพท์บัญญัติ	sàp-ban-yát
Sakon Nakhon	สกลนคร	sà-gon-na-kɔɔn
parking lot	ลานจอดรถ	laan-jɔ̀ɔd-rót
religious place	ศาสนสถาน	sàat-sǎn-sà-tǎan
lip stick	ลิปสติก	lip-sà-dtik
florist's	ร้านขายดอกไม้	ráan-kǎai-dɔ̀ɔk-máai
sticker	สติ๊กเกอร์	stìk-gə̀ə
play performed by all male	ละครนอก	lá-krɔ̌ɔk
play performed by all female	ละครใน	la-kон-nai
series on TV	ละครทีวี	la-kɔɔn-thii-wii
Thai painting	ลายไทย	laai-tai
legal profession	วงการกฎหมาย	woŋ-gaan-gòt-măay
military	วงการทหาร	woŋ-gaan-tá-hǎan
diplomatic circles	วงการทูต	woŋ-gaan-túut
airline industry	วงการบิน	woŋ-gaan-bin
medical profession	วงการแพทย์	woŋ-gaan-pɛɛt
political quarters	วงการเมือง	woŋ-gaan-mʉaŋ
religious circles	วงการศาสนา	woŋ-gaan-sàat-saa-naa
art circles	วงการศิลปะ	woŋ-gaan-sìl-bà
economic sector	วงการเศรษฐกิจ	woŋ-gaan-sèet-ta-gìt
future	วันข้างหน้า	wan-khaang-naa
someday	วันใด	wan-dai
today	วันนี้	wan-níi
last day	วันสุดท้าย	wan-sùt-táay
someday	วันหนึ่ง	wan-nʉ̀ng
future	วันหลัง	wan-lǎng
wild age	วัยคะนอง	wai-ka-noŋ
adult age	วัยผู้ใหญ่	wai-pʉ̂-yài
childhood years	วัยเยาว์	wai-yao
studying age	วัยเรียน	wai-rian
teen-age	วัยหนุ่มวัยสาว	wai-nùm wai-saao
radio station	สถานีวิทยุกระจายเสียง	sà-tǎa-nii-wit-tá-yu-grà-jaa-sǐaŋ
family unit	สถาบันครอบครัว	sà-tǎa-ban-krɔ̂ɔp-krua
research institute	สถาบันวิจัย	sà-tǎa-ban-wi-jai
social institute	สถาบันสังคม	sà-tǎa-ban-saŋ-kom
racecourse	สนามม้าแข่ง	sà-nǎam-máa-kɛ̀ŋ
shooting gallery	สนามยิงปืน	sà-naam-yiŋ-bpʉʉn
entertainment spot	สถานบริการ	sà-tǎan-bɔ-ri-gaan
treatment area	สถานบำบัด	sà-tǎan-bam-bàt
orphanage	สถานเลี้ยงเด็กกำพร้า	sà-tǎan-líaŋ-dèk-gam-praa
foster home	สถานสงเคราะห์	sà-tǎan-soŋ-krɔ̌ɔ
massage parlor	สถานอาบอบนวด	sà-tǎa-n-aap-ɔp-nùad
offering	เครื่องเซ่นไหว้	khrʉ̂aŋ-sen-wai
punctuation mark	เครื่องหมายวรรคตอน	khrʉ̂aŋ-màai-wan-ná-gà-dtɔɔn
wage	เงินค่าจ้าง	ngən-kâa-jaŋ
humble	เจียมตน	jia-m-dton
cut to the heart of	เชือดเฉือน	chʉ̂ad-chʉ̌an
baby	เด็กน้อย	dèk-nɔ́ɔy
Sharea obtusa	เต็ง	dtèŋ
favorite	เต็ง	dèŋ
totally	เต็มเปา	dtem-bpao
stove	เตา	dtao
kiln	เตาเผา	dtao-pao
fulfill	เติมเต็ม	dəm-dèm
bed	เตียงนอน	dtia-noɔn
god	เทพ	thêep
force to pass faeces	เบ่ง	bèŋ
flex	เบ่ง	bèŋ
flex one's power	เบ่ง	bèŋ
mouth the word	เบ่ง	bèŋ
speed	เบ่ง	bèŋ
lower level	เบื้องล่าง	bʉ̂ɔŋ-làaŋ
lower area	เบื้องล่าง	bʉ̂ang-làaŋ
hidden agenda	เบื้องลึก	bʉ̂aŋ-lʉ́k
superior	เบื้องสูง	bʉ̂ŋ-suuŋ
be compared as	เปรียบเสมือน	bpriap-sà-mʉan
burning sunshine	เปลวแดด	bplae-wɛ̂ɛ-dɛ̂ɛd
metamorphose	เปลี่ยนรูปเปลี่ยนร่าง	bpliàn-rûup-bpliàn-râaŋ
feel lonely	เปลี่ยวเหงา	bplìao-ngǎo
let someone	เปิดช่อง	bpə̀ət-chɔ̌ɔŋ
something enter	เปิดช่อง	bpə̀ət-chɔ̂ɔŋ
let someone have a chance	เปิดทาง	bpə̀ət-taaŋ
adopt	เปิดรับ	bpə̀ət-ráp
admit	เปิดรับ	bpə̀ət-ráp
wage war	เปิดศึก	bpə̀dt-sʉk
soak	เปียกโชก	bpia-chòok
root	หยั่งราก	yàŋ-raak
penetrate deeply	หยั่งลึก	yàŋ-lʉ̂k
divorce	หย่าขาด	hàa-kàat
rough	หยาบกร้าน	hà-yàap-gràan
offer	หยิบยื่น	hìp-yʉ̂n
moisten	หล่อเลี้ยง	làaw-líaŋ
provide nourishment	หล่อเลี้ยง	làw-líang
preach	หล่อหลอม	làw-loom
theory	หลักวิชาการ	làk-wi-chaa-gaan
grave	หลุมศพ	lùm-sòp
be concerned with	ห่วงหาอาทร	hùaŋ-hǎa-aa-tɔɔn
return	หวนคืน	huan-khʉʉn
illegal lottery	หวยใต้ดิน	wǎi-dtâi-din
be afraid	หวั่นวิตก	hùan-wít-dok
slow train	หวานเย็น	wǎan-yen
slow train	หวานเย็น	wǎan-yen
scream	หวีดร้อง	wìid-rɔ́ɔŋ
whistlingly	หวีดหวิว	wǐit-wǐu
wrap a present	ห่อของขวัญ	hɔ̀-kɔɔŋ-kwǎn
public library	ห้องสมุดประชาชน	hɔ́ɔng-sà-mùd-bprà-chaa-chon
steamed fish with curry paste	ห่อหมก	hɔ̀-mòk
deduct	หักลบ	hàk-lòp
cholera	ห่า	hàa
shower of rain	ห่า	hàa
Damn you!	ห่า	hàa
unawarely	หารู้ไม่	hǎa-rúu-mài
husky	ห้าว	háao
brave	ห้าว	háao
campaign	หาเสียง	hǎa-sǐaŋ
go hunting	หาอาหาร	hǎa-aa-hǎan
crave for rice	หิวข้าว	hǐu-kâao
hunger for	หิวโหย	hǐw-hɔ̌i
asthma	หืดหอบ	hʉ̀d-hɔ̀bp
starve to death	อดตาย	òt-dtaai
not sleep at all	อดหลับอดนอน	òt-làp-òt-nɔɔn
multi-purpose	อเนกประสงค์	à-nèk-bprà-soŋ
feel comforted	อบอุ่นใจ	ɔ̀p-ùn-jai
defend	ออกตัว	ɔ̀ɔk-dtua
be newly sold	ออกตัว	ɔ̂ɔk-dua
be young	อ่อนเยาว์	ɔ̀on-yao
on line	ออนไลน์	ɔɔn-lai
be young	อ่อนวัย	ɔ̀ɔn-wai
blown	อ่อนไหว	ɔ̀n-hǎi
sensible	อ่อนไหว	ɔ̀ɔn-hǎi
reservoir	อ่างเก็บน้ำ	àŋ-gèp-náam
claim	อ้างว่า	áaŋ-wâa
territory	อาณาจักร	aa-naa-jak
territory	อาณาจักร	aa-naa-jak
read one's mind	อ่านใจ	àan-jai
read	อ่านหนังสือ	àan-naŋ-sʉ̌a
bribery	อามิสสินจ้าง	aa-mis-sin-jâaŋ
seize	อายัดทรัพย์	aa-yát-sáp
delicatessen	อาหารสำเร็จรูป	aa-hǎan-sǎm-rèt-rúup
supplementary food	อาหารเสริม	aa-hǎan-səəm
facilitate	อำนวยความสะดวก	am-nua-y-kwaam-sa-dua-k
glow with happiness	อิ่มเอิบ	ìm-əəp
ubosot	อุโบสถ	u-boo-sòt
pray in every fortnight	อุโบสถ	u-boh-sòt
ubosot	อุโบสถ	u-boo-sòt
Buddhist holy day	อุโบสถ	u-boh-sòt
support	อุปถัมภ์ค้ำชู	u-ptàm-kám-chuu
habit	อุปนิสัย	u-bpà-ni-sai
consume	อุปโภค	up-po-ok
Chinese belief of how to locate a building	ฮวงจุ้ย	hwaŋ-jun
